BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"","shapiro_splitting_2016","Shapiro, Naomi Tachikawa","Splitting compounds with ngrams","",,,"","630--640",2016,"","68","","Proceedings of {COLING} 2016, the 26th {International} {Conference} on {Computational} {Linguistics}: {Technical} {Papers}","","","","","","","","","","","","","","","",""
7,"","shao_universal_2018-1","Shao, Yan; Hardmeier, Christian & Nivre, Joakim","Universal Word Segmentation: Implementation and Interpretation","arxiv:1807.02974",,,"","",2018,"","143","http://arxiv.org/abs/1807.02974v1","","","","","","","","","","","","","","","⛔ No DOI found","",""
7,"","shao_cross-lingual_2017-1","Shao, Yan","Cross-lingual Word Segmentation and Morpheme Segmentation as Sequence Labelling","arxiv:1709.03756",,,"","",2017,"","106","http://arxiv.org/abs/1709.03756v1","","","","","","","","","","","","","","","⛔ No DOI found","",""
7,"","sennrich_neural_2015-1","Sennrich, Rico; Haddow, Barry & Birch, Alexandra","Neural Machine Translation of Rare Words with Subword Units","arxiv:1508.07909",,,"","",2015,"","127","http://arxiv.org/abs/1508.07909v5","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"","santos_using_2014","Santos, Pedro Bispo","Using compound lists for german decompounding in a back-off scenario","",,,"","51--55",2014,"","80","","Workshop on {Computational}, {Cognitive}, and {Linguistic} {Approaches} to the {Analysis} of {Complex} {Words} and {Collocations} ({CCLCC} 2014)","","","","","","","","","","","","","","","",""
7,"","roshani_unsupervised_2014-1","Roshani, Asra","Unsupervised segmentation of sequences using harmony search and hierarchical clustering techniques","",,,"","",2014,"","146","","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"","rigouts_terryn_dutch_2016","Rigouts Terryn, Ayla; Macken, Lieve & Lefever, Els","Dutch hypernym detection: does decompounding help?","",,,"","74--78",2016,"","27","","Joint {Second} {Workshop} on {Language} and {Ontology} \& {Terminology} and {Knowledge} {Structures} ({LangOnto}2+ {TermiKS})","","","","","European Language Resources Association (ELRA)","","","","","","","","","","",""
6,"","riedl_unsupervised_2016","Riedl, M. & Biemann, C.","Unsupervised compound splitting with distributional semantics rivals supervised methods","",,,"","617--622",2016,"","79","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994120942&partnerID=40&md5=907e2881fa0d72e3de877cd94f519d2d","2016 {Conference} of the {North} {American} {Chapter} of the {Association} for {Computational} {Linguistics}: {Human} {Language} {Technologies}, {NAACL} {HLT} 2016 - {Proceedings} of the {Conference}","","","","","","","","","","","cited By 8","In this paper we present a word decompounding method that is based on distributional semantics. Our method does not require any linguistic knowledge and is initialized using a large monolingual corpus. The core idea of our approach is that parts of compounds (like "candle" and "stick") are semantically similar to the entire compound, which helps to exclude spurious splits (like "candles" and "tick"). We report results for German and Dutch: For German, our unsupervised method comes on par with the performance of a rule-based and a supervised method and significantly outperforms two unsupervised baselines. For Dutch, our method performs only slightly below a rule-based optimized compound splitter. ©2016 Association for Computational Linguistics.","","","",""
7,"","reuter_segmenting_2016","Reuter, Jack; Pereira-Martins, Jhonata & Kalita, Jugal","Segmenting twitter hashtags","International Journal on Natural Language Computing",5,,"","23--36",2016,"","57","","","","","","","","","","","","","","","","","",""
7,"","ranchhod_o_2001","Ranchhod, Elisabete Marques","O uso de dicionários e de autómatos finitos na representação lexical das línguas naturais","Tratamento das Línguas por Computador. Uma Introdução à Linguística Computacional e suas Aplicações",,,"","13--47",2001,"","51","","","","","","","","","","","","","","","","","",""
6,"","qian_transition-based_2015-2","Qian, T.; Zhang, Y.; Zhang, M.; Ren, Y. & Ji, D.","A transition-based model for joint segmentation, POS-tagging and normalization","",,,"","1837--1846",2015,"","98","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959905712&partnerID=40&md5=00d6ac7fdc06bd2b83d3dfb4ec314f4a","Conference {Proceedings} - {EMNLP} 2015: {Conference} on {Empirical} {Methods} in {Natural} {Language} {Processing}","","","","","","","","","","","cited By 11","We propose a transition-based model for joint word segmentation, POS tagging and text normalization. Different from previous methods, the model can be trained on standard text corpora, overcoming the lack of annotated microblog corpora. To evaluate our model, we develop an annotated corpus based on microblogs. Experimental results show that our joint model can help improve the performance of word segmentation on microblogs, giving an error reduction in segmentation accuracy of 12.02\%, compared to the traditional approach. © 2015 Association for Computational Linguistics.","","","",""
7,"","prestes_extracao_2015","Prestes, Kassius Vargas","Extração multilíngue de termos multipalavra em corpora comparáveis","",,,"","",2015,"","30","","","","","","","","","","","","","","","","","",""
7,"","popovic_statistical_2006-1","Popović, M.; Stein, D. & Ney, H.","Statistical machine translation of german compound words","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",4139 LNAI,,"","616--624",2006,"","70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749674758&partnerID=40&md5=5a2ba01a1897f9b2a062138b3e9f05d3","","","","","","","","","","","","cited By 20","German compound words pose special problems to statistical machine translation systems: the occurence of each of the components in the training data is not sufficient for successful translation. Even if the compound itself has been seen during training, the system may not be capable of translating it properly into two or more words. If German is the target language, the system might generate only separated components or may not be capable of choosing the correct compound. In this work, we investigate and compare different strategies for the treatment of German compound words in statistical machine translation systems. For translation from German, we compare linguistic-based and corpusbased compound splitting. For translation into German, we investigate splitting and rejoining German compounds, as well as joining English potential components. Additionaly, we investigate word alignments enhanced with knowledge about the splitting points of German compounds. The translation quality is consistently improved by all methods for both translation directions. © Springer-Verlag Berlin Heidelberg 2006.","","","",""
6,"","pinter_investigating_2018","Pintér, Gábor; Schielke, Mira & Petrick, Rico","Investigating Word Segmentation Techniques for German Using Finite-State Transducers","",,,"","511--521",2018,"","39","","International {Conference} on {Speech} and {Computer}","","","","","Springer","","","","","","","","","","",""
6,"","pimpale_smt_2014","Pimpale, Prakash B.; Patel, Raj Nath & Sasikumar, M.","SMT from Agglutinative Languages: Use of Suffix Separation and Word Splitting","",,,"","2--10",2014,"","63","","Proceedings of the 11th {International} {Conference} on {Natural} {Language} {Processing}","","","","","","","","","","","","","","","",""
7,"","pedersen_using_2007","Pedersen, B. S.","Using shallow linguistic analysis to improve search on Danish compounds","Natural Language Engineering",13,1,"","75--90",2007,"","82","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847289690&doi=10.1017%2fS1351324906004256&partnerID=40&md5=b20e47119434e911c56c063423f9c5b1","","","","","","","","","","","","cited By 0","In this paper we focus on a specific search-related query expansion topic, namely search on Danish compounds and expansion to some of their synonymous phrases. Compounds constitute a specific issue in search, in particular in languages where they are written in one word, as is the case for Danish and the other Scandinavian languages. For such languages, expansion of the query compound into separate lemmas is a way of finding the often frequent alternative synonymous phrases in which the content of a compound can also be expressed. However, it is crucial to note that the number of irrelevant hits is generally very high when using this expansion strategy. The aim of this paper is therefore to examine how we can obtain better search results on split compounds, partly by looking at the internal structure of the original compound, partly by analyzing the context in which the split compound occurs. In this context, we pursue two hypotheses: (1) that some categories of compounds are more likely to have synonymous 'split' counterparts than others; and (2) that search results where both the search words (obtained by splitting the compound) occur in the same noun phrase, are more likely to contain a synonymous phrase to the original compound query. The search results from 410 enhanced compound queries are used as a test bed for our experiments. On these search results, we perform a shallow linguistic analysis and introduce a new, linguistically based threshold for retrieved hits. The results obtained by using this strategy demonstrate that compound splitting combined with a shallow linguistic analysis focusing on the argument structure of the compound head as well as on the recognition of NPs, can improve search by substantially bringing down the number of irrelevant hits. © 2006 Cambridge University Press.","","","",""
7,"","pecina_adaptation_2014-1","Pecina, Pavel; Dušek, Ondřej; Goeuriot, Lorraine; Hajič, Jan; Hlaváčová, Jaroslava; Jones, Gareth J. F.; Kelly, Liadh; Leveling, Johannes; Mareček, David; Novák, Michal; Popel, Martin; Rosa, Rudolf; Tamchyna, Aleš & Urešová, Zdeňka","Adaptation of Machine Translation for Multilingual Information Retrieval in the Medical Domain","Artif. Intell. Med.",61,3,"July","165--185",2014,"","04","http://dx.doi.org/10.1016/j.artmed.2014.01.004","","","","","","","","","","","","","","","Compound splitting, Cross-language information retrieval, Domain adaptation of statistical machine translation, Intelligent training data selection for machine translation, Medical query translation, Statistical machine translation","",""
6,"978-1-932432-71-8","paul_integration_2010-1","Paul, Michael; Finch, Andrew & Sumita, Eiichiro","Integration of Multiple Bilingually-learned Segmentation Schemes into Statistical Machine Translation","",,,"","400--408",2010,"Stroudsburg, PA, USA","115 event-place: Uppsala, Sweden","http://dl.acm.org/citation.cfm?id=1868850.1868910","Proceedings of the {Joint} {Fifth} {Workshop} on {Statistical} {Machine} {Translation} and {MetricsMATR}","","","{WMT} '10","","Association for Computational Linguistics","","","","","","","","","","",""
7,"","paul_integration_2011-2","Paul, M.; Finch, A. & Sumita, E.","Integration of multiple bilingually-trained segmentation schemes into statistical machine translation","IEICE Transactions on Information and Systems",E94-D,3,"","690--697",2011,"","116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952129828&doi=10.1587%2ftransinf.E94.D.690&partnerID=40&md5=f02f8345f7fbdde304c3c697b3f3d408","","","","","","","","","","","","cited By 3","This paper proposes an unsupervised word segmentation algorithm that identifies word boundaries in continuous source language text in order to improve the translation quality of statistical machine translation (SMT) approaches. The method can be applied to any language pair in which the source language is unsegmented and the target language segmentation is known. In the first step, an iterative bootstrap method is applied to learn multiple segmentation schemes that are consistent with the phrasal segmentations of an SMT system trained on the resegmented bitext. In the second step, multiple segmentation schemes are integrated into a single SMT system by characterizing the source language side and merging identical translation pairs of differently segmented SMT models. Experimental results translating five Asian languages into English revealed that the proposed method of integrating multiple segmentation schemes outperforms SMT models trained on any of the learned word segmentations and performs comparably to available monolingually built segmentation tools. © 2011 The Institute of Electronics, Information and Communication Engineers.","","","",""
6,"978-1-60558-641-0","paul_language_2009-1","Paul, Michael; Finch, Andrew & Sumita, Eiichiro","Language Independent Word Segmentation for Statistical Machine Translation","",,,"","36--40",2009,"New York, NY, USA","event-place: Tokyo, Japan","http://doi.acm.org/10.1145/1667780.1667788","Proceedings of the 3rd {International} {Universal} {Communication} {Symposium}","","","{IUCS} '09","","ACM","","","","","","","","","","",""
7,"","patel_machine_2019","Patel, R. N.; Pimpale, P. B. & Sasikumar, M.","Machine translation in Indian languages: Challenges and resolution","Journal of Intelligent Systems",28,3,"","437--445",2019,"","44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053124049&doi=10.1515%2fjisys-2018-0014&partnerID=40&md5=5b1e11decdb5614448ceda0e259a43a4","","","","","","","","","","","","cited By 1","English to Indian language machine translation poses the challenge of structural and morphological divergence. This paper describes English to Indian language statistical machine translation using preordering and suffix separation. The preordering uses rules to transfer the structure of the source sentences prior to training and translation. This syntactic restructuring helps statistical machine translation to tackle the structural divergence and hence provides better translation quality. The suffix separation is used to tackle the morphological divergence between English and highly agglutinative Indian languages. We demonstrate that the use of preordering and suffix separation helps in improving the quality of English to Indian language machine translation. © 2019 Walter de Gruyter GmbH, Berlin/Boston.","","","",""
6,"","pate_syllable_2014-2","Pate, J. K. & Johnson, M.","Syllable weight encodes mostly the same information for english word segmentation as dictionary stress","",,,"","844--853",2014,"","138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961296056&partnerID=40&md5=cf2aa54e54fbb32050bfd4d0c6349bd0","{EMNLP} 2014 - 2014 {Conference} on {Empirical} {Methods} in {Natural} {Language} {Processing}, {Proceedings} of the {Conference}","","","","","","","","","","","cited By 0","Stress is a useful cue for English word segmentation. A wide range of computational models have found that stress cues enable a 2-10\% improvement in segmentation accuracy, depending on the kind of model, by using input that has been annotated with stress using a pronouncing dictionary. However, stress is neither invariably produced nor unambiguously identifiable in real speech. Heavy syllables, i.e. those with long vowels or syllable codas, attract stress in English. We devise Adaptor Grammar word segmentation models that exploit either stress, or syllable weight, or both, and evaluate the utility of syllable weight as a cue to word boundaries. Our results suggest that syllable weight encodes largely the same information for word segmentation in English that annotated dictionary stress does. © 2014 Association for Computational Linguistics.","","","",""
6,"","owczarzak_wordsyoudontknow_2014","Owczarzak, Karolina; de Haan, Ferdinand; Krupka, George & Hindle, Don","Wordsyoudontknow: Evaluation of lexicon-based decompounding with unknown handling","",,,"","63--71",2014,"","87","","Proceedings of the {First} {Workshop} on {Computational} {Approaches} to {Compound} {Analysis} ({ComAComA} 2014)","","","","","","","","","","","","","","","",""
6,"","ordelman_compound_2003","Ordelman, R.; Van Hessen, A. & De Jong, F.","Compound decomposition in Dutch large vocabulary speech recognition","",,,"","225--228",2003,"","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009170957&partnerID=40&md5=9373eec435a757ed1ac5b17f6d94fcd8","{EUROSPEECH} 2003 - 8th {European} {Conference} on {Speech} {Communication} and {Technology}","","","","","","","","","","","cited By 23","This paper addresses compound splitting for Dutch in the context of broadcast news transcription. Language models were created using original text versions and text versions that were decomposed using a data-driven compound splitting algorithm. Language model performances were compared in terms of outof- vocabulary rates and word error rates in a real-world broadcast news transcription task. It was concluded that compound splitting does improve ASR performance. Best results were obtained when frequent compounds were not decomposed.","","","",""
13,"","norvig_statistical_nodate-2","Norvig, Peter","Statistical Natural Language Processing in Python. or How To Do Things With Words. And Counters. or Everything I Needed to Know About NLP I learned From Sesame Street. Except Kneser-Ney Smoothing. The Count Didn't Cover That.","",,,"","",,"","137","https://nbviewer.jupyter.org/url/norvig.com/ipython/How%20to%20Do%20Things%20with%20Words.ipynb","","","","","","","","","","","","","In this notebook Peter Norvig show us how to work with statistical natural language processing. With a theorical/pratical approach, Norvig shows the fundamentals about word segmentation using python.","","","",""
9,"","nordal_cross-lingual_2016","Nordal, Martin","Cross-lingual information retrieval using compound word splitting","",,,"","",2016,"","20","","","","","","","","","","NTNU","","NTNU","","","","","",""
7,"","nivre_towards_2015-3","Nivre, J.","Towards a universal grammar for natural language processing","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",9041,,"","3--16",2015,"","142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942673144&doi=10.1007%2f978-3-319-18111-0_1&partnerID=40&md5=0c36bdb69403326297326f303bf15cc2","","","","","","","","","","","","cited By 26","Universal Dependencies is a recent initiative to develop cross-linguistically consistent treebank annotation for many languages, with the goal of facilitating multilingual parser development, cross-lingual learning, and parsing research from a language typology perspective. In this paper, I outline the motivation behind the initiative and explain how the basic design principles follow from these requirements. I then discuss the different components of the annotation standard, including principles for word segmentation, morphological annotation, and syntactic annotation. I conclude with some thoughts on the challenges that lie ahead. © Springer International Publishing Switzerland 2015.","","","",""
7,"","nguyen_learning_2019-3","Nguyen, Hien T.; Duong, Phuc H. & Cambria, Erik","Learning short-text semantic similarity with word embeddings and external knowledge sources","Knowledge-Based Systems",182,,"","104842",2019,"","121","http://www.sciencedirect.com/science/article/pii/S095070511930317X","","","","","","","","","","","","","We present a novel method based on interdependent representations of short texts for determining their degree of semantic similarity. The method represents each short text as two dense vectors: the former is built using the word-to-word similarity based on pre-trained word vectors, the latter is built using the word-to-word similarity based on external sources of knowledge. We also developed a preprocessing algorithm that chains coreferential named entities together and performs word segmentation to preserve the meaning of phrasal verbs and idioms. We evaluated the proposed method on three popular datasets, namely Microsoft Research Paraphrase Corpus, STS2015 and P4PIN, and obtained state-of-the-art results on all three without using prior knowledge of natural language, e.g., part-of-speech tags or parse tree, which indicates the interdependent representations of short text pairs are effective and efficient for semantic textual similarity tasks.","","Paraphrase identification, Semantic textual similarity, Sentence similarity, Short text similarity","",""
7,"","nguyen_learning_2019-4","Nguyen, H. T.; Duong, P. H. & Cambria, E.","Learning short-text semantic similarity with word embeddings and external knowledge sources","Knowledge-Based Systems",182,,"","",2019,"","120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069875471&doi=10.1016%2fj.knosys.2019.07.013&partnerID=40&md5=79164e89f20b11d4c4cf48b954deaae2","","","","","","","","","","","","cited By 0","We present a novel method based on interdependent representations of short texts for determining their degree of semantic similarity. The method represents each short text as two dense vectors: the former is built using the word-to-word similarity based on pre-trained word vectors, the latter is built using the word-to-word similarity based on external sources of knowledge. We also developed a preprocessing algorithm that chains coreferential named entities together and performs word segmentation to preserve the meaning of phrasal verbs and idioms. We evaluated the proposed method on three popular datasets, namely Microsoft Research Paraphrase Corpus, STS2015 and P4PIN, and obtained state-of-the-art results on all three without using prior knowledge of natural language, e.g., part-of-speech tags or parse tree, which indicates the interdependent representations of short text pairs are effective and efficient for semantic textual similarity tasks. © 2019 Elsevier B.V.","","","",""
7,"","namer_rule-based_2013-3","Namer, F.","A Rule-Based Morphosemantic Analyzer for French for a Fine-Grained Semantic Annotation of Texts","Communications in Computer and Information Science",380 CCIS,,"","92--114",2013,"","95","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904608636&doi=10.1007%2f978-3-642-40486-3_6&partnerID=40&md5=39c06edc8d7ffbce4c228d77c841004d","","","","","","","","","","","","cited By 0","We describe DériF, a rule-based morphosemantic analyzer developed for French. Unlike existing word segmentation tools, DériF provides derived and compound words with various sorts of semantic information: (1) a definition, computed from both the base meaning and the specificities of the morphological rule; (2) lexical-semantic features, inferred from general linguistic properties of derivation rules; (3) lexical relations (synonymy, (co-)hyponymy) with other, morphologically unrelated, words belonging to the same analyzed corpus. © Springer-Verlag Berlin Heidelberg 2013.","","","",""
6,"","moreau_multilingual_2019-2","Moreau, E. & Vogel, C.","Multilingual word segmentation: Training many language-specific tokenizers smoothly thanks to the universal dependencies corpus","",,,"","1119--1127",2019,"","125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059903761&partnerID=40&md5=0d85521a7ec28ece3d5e35165d639dda","{LREC} 2018 - 11th {International} {Conference} on {Language} {Resources} and {Evaluation}","","","","","","","","","","","cited By 1","This paper describes how a tokenizer can be trained from any dataset in the Universal Dependencies 2.1 corpus (UD2) (Nivre et al., 2017). A software tool, which relies on Elephant (Evang et al., 2013) to perform the training, is also made available. Beyond providing the community with a large choice of language-specific tokenizers, we argue in this paper that: (1) tokenization should be considered as a supervised task; (2) language scalability requires a streamlined software engineering process across languages. © LREC 2018 - 11th International Conference on Language Resources and Evaluation. All rights reserved.","","⛔ No DOI found","",""
6,"","monz_university_2001","Monz, C. & De Rijke, M.","The university of Amsterdam at CLEF 2001","",1167,,"","",2001,"","73","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921953688&partnerID=40&md5=85d483b1ce4dbd8f4a9881095044adb8","{CEUR} {Workshop} {Proceedings}","","","","","","","","","","","cited By 1","This paper describes the official runs of our team for CLEF-2001. We took part in the monolingual task, for Dutch, German, and Italian. The focus of our experiments was on the effects of morphological analyses such as stemming and compound splitting on retrieval effectiveness. Confirming earlier reports on retrieval in compound splitting languages such as Dutch and German, we found improvements to be around 25\% for German and as much as 55\% for Dutch. For Italian, lexicon-based stemming resulted in gains of up to 25\%. Copyright © 2001 for the individual papers by the papers' authors.","","","",""
6,"","matsumoto_sensibility_2016-2","Matsumoto, K.; Yoshida, M. & Kita, K.","Sensibility estimation method for youth slang by using sensibility co-occurrence feature vector obtained from microblog","",,,"","473--478",2016,"","134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963939887&doi=10.1109%2fCompComm.2015.7387618&partnerID=40&md5=4a1d165f66f914a0b90d4bd3b4765816","Proceedings of 2015 {IEEE} {International} {Conference} on {Computer} and {Communications}, {ICCC} 2015","","","","","","","","","","","cited By 0","Social networking sites such as Twitter provide more opportunities to express what people think or intend in short text. In short text, abbreviations such as "ASAP" or "joinus" and emoticons are often used. Because these expressions are not registered into the existing dictionaries, these are analyzed as unknown expressions. That can be a bottleneck for improving accuracy of reputation analysis in text mining. To use context for unknown word clustering is a major method, however, it usually requires word segmentation process and it has weakness for split errors of unknown expressions such as youth slang. In this paper, we proposed a method to obtain the appropriate context even though unknown expressions cause split errors and estimate sensibility expressed in the text. Because the dimensions of the obtained context vector were enormous, we also proposed a method to create a feature vector based on the co-occurrence of the sensibility words as simple expression with low dimension. As an evaluation experiment, the proposed method showed certain accuracy even with the small training data. © 2015 IEEE.","","","",""
7,"","markovtsev_splitting_2018","Markovtsev, Vadim; Long, Waren; Bulychev, Egor; Keramitas, Romain; Slavnov, Konstantin & Markowski, Gabor","Splitting source code identifiers using Bidirectional LSTM Recurrent Neural Network","arXiv preprint arXiv:1805.11651",,,"","",2018,"","69","","","","","","","","","","","","","","","","","",""
6,"978-1-932432-87-9","macherey_language-independent_2011","Macherey, Klaus; Dai, Andrew M.; Talbot, David; Popat, Ashok C. & Och, Franz","Language-independent Compound Splitting with Morphological Operations","",,,"","1395--1404",2011,"Stroudsburg, PA, USA","event-place: Portland, Oregon","http://dl.acm.org/citation.cfm?id=2002472.2002644","Proceedings of the 49th {Annual} {Meeting} of the {Association} for {Computational} {Linguistics}: {Human} {Language} {Technologies} - {Volume} 1","","","{HLT} '11","","Association for Computational Linguistics","","","","","","","","","","",""
7,"","machacek_morphological_2018-1","Macháček, Dominik; Vidra, Jonáš & Bojar, Ondřej","Morphological and Language-Agnostic Word Segmentation for NMT","arxiv:1806.05482",,,"","",2018,"","124","http://arxiv.org/abs/1806.05482v1","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"","ma_bilingually_2009-1","Ma, Yanjun & Way, Andy","Bilingually Motivated Domain-adapted Word Segmentation for Statistical Machine Translation","",,,"","549--557",2009,"Stroudsburg, PA, USA","103 event-place: Athens, Greece","http://dl.acm.org/citation.cfm?id=1609067.1609128","Proceedings of the 12th {Conference} of the {European} {Chapter} of the {Association} for {Computational} {Linguistics}","","","{EACL} '09","","Association for Computational Linguistics","","","","","","","","","⛔ No DOI found","",""
6,"","ma_letter_2016","Ma, Jianqiang; Henrich, Verena & Hinrichs, Erhard","Letter sequence labeling for compound splitting","",,,"","76--81",2016,"","41","","Proceedings of the 14th {SIGMORPHON} {Workshop} on {Computational} {Research} in {Phonetics}, {Phonology}, and {Morphology}","","","","","","","","","","","","","","","",""
7,"","libben_compound_2003","Libben, Gary; Gibson, Martha; Yoon, Yeo Bom & Sandra, Dominiek","Compound fracture: The role of semantic transparency and morphological headedness","Brain and Language",84,1,"","50 -- 64",2003,"","17","http://www.sciencedirect.com/science/article/pii/S0093934X02005205","","","","","","","","","","","","Brain and Language Special Issue","This paper explores the role of semantic transparency in the representation and processing of English compounds. We focus on the question of whether semantic transparency is best viewed as a property of the entire multimorphemic string or as a property of constituent morphemes. Accordingly, we investigated the processing of English compound nouns that were categorized in terms of the semantic transparency of each of their constituents. Fully transparent such as bedroom are those in which the meanings of each of the constituents are transparently represented in the meaning of the compound as a whole. These compounds were contrasted with compounds such as strawberry, in which only the second constituent is semantically transparent, jailbird, in which only the first constituent is transparent, and hogwash, in which neither constituent is semantically transparent. We propose that significant insights can be achieved through such analysis of the transparency of individual morphemes. The two experiments that we report present evidence that both semantically transparent compounds and semantically opaque compounds show morphological constituency. The semantic transparency of the morphological head (the second constituent in a morphologically right-headed language such as English) was found to play a significant role in overall lexical decision latencies, in patterns of decomposition, and in the effects of stimulus repetition within the experiment.","","","",""
7,"","liang_detecting_2014-1","Liang, Wang & KaiYong, Zhao","Detecting "protein words" through unsupervised word segmentation","arxiv:1404.6866",,,"","",2014,"","107","http://arxiv.org/abs/1404.6866v6","","","","","","","","","","","","","","","⛔ No DOI found","",""
6,"","li_helpful_2018","Li, J.; Du, Q.; Shi, K.; He, Y.; Wang, X. & Xu, J.","Helpful or not? an investigation on the feasibility of identifier splitting via CNN-BiLSTM-CRF","",2018-July,,"","175--181",2018,"","37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056829823&doi=10.18293%2fSEKE2018-167&partnerID=40&md5=da7e9e1bd5ebdb234108fb0e7e22f2f9","Proceedings of the {International} {Conference} on {Software} {Engineering} and {Knowledge} {Engineering}, {SEKE}","","","","","","","","","","","cited By 0","We recently introduced a new technique to handle source code identifier splitting. The proposed technique, denoted as CNN-BiLSTM-CRF[a neural network composed of a convolutional neural network(CNN), bidirectional long short-Term memory networks(BiLSTM) and conditional random fields(CRFs)] enables us to obtain a model that splits identifiers correctly and effectively. This technique combines the use of a CNN layer with the mature BiLSTM-CRF model. The experimental results indicate that CNN-BiLSTM-CRF delivers outstanding performance on all four of the evaluation oracles. More importantly, we endeavored to provide insight into the practical feasibility of this technique by considering the aspects of generality, data size in demand and construction cost, etc. Finally, we reasoned out that CNN-BiLSTM-CRF should be helpful and improvable for identifier splitting in practical works in terms of the accuracy and feasibility. This was validated by multifaceted experiments. Index Terms-identifier splitting, source code mining, program comprehension, CNN, BiLSTM-CRF, feasibility investigation. © 2018 Universitat zu Koln. All rights reserved.","","","",""
9,"","leidig_single_2014","Leidig, Sebastian; Schlippe, Dipl-Inform Tim & Schultz, Ing Tanja","Single and Combined Features for the Detection of Anglicisms in German and Afrikaans","",,,"","",2014,"","62","","","","","","","","","","Bachelor’s Thesis, Karlsruhe Institute of Technology","","Bachelor’s Thesis, Karlsruhe Institute of Technology","","","","","",""
7,"","lee_automatic_2007-2","Lee, D.-G.; Rim, H.-C. & Yook, D.","Automatic word spacing using probabilistic models based on character n-grams","IEEE Intelligent Systems",22,1,"","28--35",2007,"","101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847611998&doi=10.1109%2fMIS.2007.4&partnerID=40&md5=f49f0e501e9b8b12dedfb8fee532c736","","","","","","","","","","","","cited By 16","Probabilistic models based on Hidden Markov models (HMM) for automatic word spacing that use characters n-grams, which is a sub-sequence of n characters in a given character sequence, are discussed. Automatic word spacing is a preprocessing techniques used for correcting boundaries between words in a sentence containing spacing errors. These model can be effectively applied to a natural language with a small character set, such as English, using character n-grams that are larger than trigrams. These models, which are language independent and can be effectively used for languages having word spacing, can also be used for word segmentation in the languages without explicit word spacing. These models, by generalizing the HMMs, can consider a broad context and estimate accurate probabilities.","","","",""
1,"","lanxiaowei_ik-analyzer_nodate-2","Lanxiaowei","IK-Analyzer","",,,"","",,"","112","https://github.com/yida-lxw/IK","","","","","","","","","","","","","The source code of IK-Analyzer,Supported Arabic numerals and Chinese characters, Chinese figures and Chinese characters and Arabic Numbers and English letters of the word segmentation","","","",""
7,"","kumar_sanskrit_2010","Kumar, A.; Mittal, V. & Kulkarni, A.","Sanskrit compound processor","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",6465 LNAI,,"","57--69",2010,"","56","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651063736&doi=10.1007%2f978-3-642-17528-2_5&partnerID=40&md5=ba8a099b10cf2e63862a66f42bd24e2f","","","","","","","","","","","","cited By 3","Sanskrit is very rich in compound formation. Typically a compound does not code the relation between its components explicitly. To understand the meaning of a compound, it is necessary to identify its components, discover the relations between them and finally generate a paraphrase of the compound. In this paper, we discuss the automatic segmentation and type identification of a compound using simple statistics that results from the manually annotated data. © 2010 Springer-Verlag Berlin Heidelberg.","","","",""
6,"3-540-65101-2","kraaij_comparing_1998","Kraaij, Wessel & Pohlmann, Renée","Comparing the Effect of Syntactic vs. Statistical Phrase Indexing Strategies for Dutch","",,,"","605--617",1998,"London, UK, UK","15","http://dl.acm.org/citation.cfm?id=646631.696685","Proceedings of the {Second} {European} {Conference} on {Research} and {Advanced} {Technology} for {Digital} {Libraries}","","","{ECDL} '98","","Springer-Verlag","","","","","","","","","","",""
